week_start,commits_total,commits_claude,commits_copilot,commits_devin,commits_aider,commits_codex,commits_opencode,commits_cursor_editor,commits_cursor_bg,commits_jules,commits_amazonq,commits_amp,commits_windsurf,commits_junie,prs_total,prs_claude,prs_codex,prs_copilot,prs_cursor,prs_devin,prs_jules,prs_amazonq,prs_opencode,commits_claude_pct,commits_copilot_pct,commits_devin_pct,commits_aider_pct,commits_codex_pct,commits_opencode_pct,commits_cursor_editor_pct,commits_cursor_bg_pct,commits_jules_pct,commits_amazonq_pct,commits_amp_pct,commits_windsurf_pct,commits_junie_pct,prs_claude_pct,prs_codex_pct,prs_copilot_pct,prs_cursor_pct,prs_devin_pct,prs_jules_pct,prs_amazonq_pct,prs_opencode_pct,pr_commit_ratio
2025-01-06,21945645,105,0,1094,27,0,0,17,0,3,0,0,0,0,1080375,0,0,0,1,601,0,0,0,0.0005,0.0,0.005,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0556,0.0,0.0,0.0,4.923
2025-01-13,20759950,62,0,1014,39,0,0,16,0,4,0,0,0,0,1172983,0,1,0,0,502,0,0,0,0.0003,0.0,0.0049,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0428,0.0,0.0,0.0,5.6502
2025-01-20,23598907,353,0,2268,33,0,0,21,0,0,0,0,0,0,1192662,1,10,0,2,607,0,0,0,0.0015,0.0,0.0096,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0008,0.0,0.0002,0.0509,0.0,0.0,0.0,5.0539
2025-01-27,21305736,125,0,1892,37,0,0,7,0,6,0,0,0,0,1162490,1,0,0,0,497,0,0,0,0.0006,0.0,0.0089,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0428,0.0,0.0,0.0,5.4562
2025-02-03,22131215,192,0,2564,38,0,0,15,0,10,0,0,0,0,1206206,0,0,0,1,607,0,0,0,0.0009,0.0,0.0116,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0503,0.0,0.0,0.0,5.4502
2025-02-10,24151505,53,0,2156,14,0,0,14,0,9,0,0,0,0,1307419,2,0,0,1,624,0,0,0,0.0002,0.0,0.0089,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0001,0.0477,0.0,0.0,0.0,5.4134
2025-02-17,25758888,116,0,3498,26,0,0,6,0,2,0,0,0,0,1313612,0,0,0,1,1032,0,0,0,0.0005,0.0,0.0136,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0786,0.0,0.0,0.0,5.0996
2025-04-07,26528251,4535,0,3370,50,0,0,0,0,32,0,0,0,0,1348803,7,0,2,0,1097,4,0,0,0.0171,0.0,0.0127,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0005,0.0,0.0001,0.0,0.0813,0.0003,0.0,0.0,5.0844
2025-04-14,25735402,3818,0,3777,102,0,0,0,0,40,0,0,0,0,1235335,0,0,13,3,1128,4,0,0,0.0148,0.0,0.0147,0.0004,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0002,0.0913,0.0003,0.0,0.0,4.8001
2025-04-21,26392935,3341,0,2179,34,0,171,0,0,79,0,0,0,0,1316622,14,2,1,0,960,0,0,0,0.0127,0.0,0.0083,0.0001,0.0,0.0006,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0011,0.0002,0.0001,0.0,0.0729,0.0,0.0,0.0,4.9885
2025-04-28,25080177,3475,20,3298,20,0,8,0,0,148,0,0,0,0,1284356,5,0,16,3,1306,0,11,0,0.0139,0.0001,0.0131,0.0001,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0004,0.0,0.0012,0.0002,0.1017,0.0,0.0009,0.0,5.121
2025-05-05,25723397,5211,16,3860,69,0,1,1,0,111,67,0,0,0,1344225,4,0,35,1,1259,0,125,0,0.0203,0.0001,0.015,0.0003,0.0,0.0,0.0,0.0,0.0004,0.0003,0.0,0.0,0.0,0.0003,0.0,0.0026,0.0001,0.0937,0.0,0.0093,0.0,5.2257
2025-05-12,26721864,5407,49,3695,55,0,0,5,0,35,43,0,0,0,1375336,5,12543,44,14,1552,2,103,0,0.0202,0.0002,0.0138,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0004,0.912,0.0032,0.001,0.1128,0.0001,0.0075,0.0,5.1469
2025-05-19,27030186,11969,3751,4029,65,0,1,2,0,13121,35,0,0,0,1377323,315,32514,2725,46,1175,9,86,0,0.0443,0.0139,0.0149,0.0002,0.0,0.0,0.0,0.0,0.0485,0.0001,0.0,0.0,0.0,0.0229,2.3607,0.1978,0.0033,0.0853,0.0007,0.0062,0.0,5.0955
2025-05-26,26507586,22081,5285,2254,74,0,2468,11,0,15939,50,0,0,0,1353107,655,21260,2785,70,1104,17,82,0,0.0833,0.0199,0.0085,0.0003,0.0,0.0093,0.0,0.0,0.0601,0.0002,0.0,0.0,0.0,0.0484,1.5712,0.2058,0.0052,0.0816,0.0013,0.0061,0.0,5.1046
2025-06-02,25621562,31092,6575,1861,26,0,979,145,0,18707,45,0,0,0,1470723,729,114065,2908,431,932,11,171,0,0.1214,0.0257,0.0073,0.0001,0.0,0.0038,0.0006,0.0,0.073,0.0002,0.0,0.0,0.0,0.0496,7.7557,0.1977,0.0293,0.0634,0.0007,0.0116,0.0,5.7402
2025-06-09,26933100,53641,6646,1832,48,0,3323,752,0,15456,11,0,0,0,1485342,826,109545,3522,465,914,15,48,0,0.1992,0.0247,0.0068,0.0002,0.0,0.0123,0.0028,0.0,0.0574,0.0,0.0,0.0,0.0,0.0556,7.3751,0.2371,0.0313,0.0615,0.001,0.0032,0.0,5.5149
2025-06-16,26326925,72850,5282,1987,43,0,1445,953,0,14428,13,0,0,0,1490407,748,97414,2727,695,1097,54,59,0,0.2767,0.0201,0.0075,0.0002,0.0,0.0055,0.0036,0.0,0.0548,0.0,0.0,0.0,0.0,0.0502,6.5361,0.183,0.0466,0.0736,0.0036,0.004,0.0,5.6612
